Stops,Website,Booked_on,Destination,Depart_date,Airline,Price
3,Aviakassa,2/9/22,GOI,11/1/22,EY,Expensive
3,Aviakassa,2/8/22,GOI,9/29/22,EY,Expensive
3,Aviakassa,2/6/22,GOI,6/17/22,EY,Expensive
3,Aviakassa,2/7/22,GOI,7/1/22,EY,Expensive
3,Aviakassa,2/8/22,GOI,12/14/22,EY,Expensive
3,Aviakassa,2/7/22,GOI,8/1/22,EY,Expensive
3,Tickets.ru,2/3/22,ALY,9/5/22,W6,Expensive
3,Aviakassa,2/9/22,CMB,6/18/22,5W,Expensive
3,Aviakassa,2/7/22,DAC,4/21/22,5W,Expensive
3,KupiBilet.ru,2/4/22,AMD,4/15/22,EY,Expensive
3,Tickets.ru,2/3/22,AQJ,7/20/22,FR,Expensive
3,City.Travel,2/9/22,YMQ,4/3/22,AC,Expensive
3,Tickets.ru,2/2/22,ALF,7/29/22,W6,Expensive
3,MEGO.travel,2/5/22,SXR,4/26/22,EY,Expensive
3,KupiBilet.ru,2/8/22,YMQ,6/8/22,WS,Expensive
3,MEGO.travel,2/7/22,BLR,12/1/22,EY,Expensive
3,Tickets.ru,2/4/22,SMA,6/13/22,BA,Expensive
3,OneTwoTrip,2/8/22,DAC,5/6/22,5W,Expensive
3,MEGO.travel,2/6/22,BLR,11/21/22,EY,Expensive
3,KupiBilet.ru,2/8/22,BLR,7/1/22,EY,Expensive
3,Tickets.ru,2/5/22,YMQ,8/25/22,OS,Expensive
3,KupiBilet.ru,2/8/22,FLW,5/19/22,A3,Expensive
3,KupiBilet.ru,2/6/22,YMQ,5/19/22,TS,Expensive
3,Trip.com,2/7/22,OZG,6/1/22,AT,Expensive
3,MEGO.travel,2/4/22,BLR,5/3/22,TK,Expensive
3,OneTwoTrip,2/7/22,KIS,5/18/22,QR,Expensive
3,KupiBilet.ru,2/6/22,SFO,4/3/22,LV,Expensive
3,KupiBilet.ru,2/7/22,YTO,9/16/22,WS,Expensive
3,OneTwoTrip,2/7/22,MYD,5/18/22,QR,Expensive
3,KupiBilet.ru,2/8/22,BOS,5/15/22,LV,Expensive
3,Trip.com,2/3/22,BIA,11/3/22,LH,Expensive
3,KupiBilet.ru,2/9/22,YMQ,9/10/22,WS,Expensive
3,Aviakassa,2/8/22,NHA,11/9/22,TK,Expensive
